step,signal,queue,action,throughput,delay
41,30037903,0,2,0,2.0
41,30037904,0,1,0,2.0
42,2489157872,0,2,0,4.0
42,2489157876,0,2,0,4.0
42,30037903,0,0,0,4.0
42,30037904,0,1,0,4.0
43,2489157872,0,0,0,6.0
43,2489157876,0,0,0,6.0
43,30037903,0.0,1,0,6.0
43,30037904,0,2,0,6.0
44,2489157872,0,1,0,9.0
44,2489157876,0,2,0,9.0
44,30037903,0,0,0,9.0
44,30037904,0,1,0,9.0
45,2489157872,0,2,0,12.0
45,2489157876,0,0,0,12.0
45,30037903,0,1,0,12.0
45,30037904,2,2,0,12.0
46,2489157872,0,0,1,16.0
46,2489157876,0,1,1,16.0
46,30037903,0.5,0,1,16.0
46,30037904,0,2,1,16.0
47,2489157872,0,0,0,21.0
47,2489157876,0,1,0,21.0
47,30037903,1,0,0,21.0
47,30037904,0,2,0,21.0
48,2489157872,0,1,0,27.0
48,2489157876,0,0,0,27.0
48,30037903,1,2,0,27.0
48,30037904,0,1,0,27.0
49,2489157872,0,0,1,33.0
49,2489157876,0,2,1,33.0
49,30037903,0.5,0,1,33.0
49,30037904,0,1,1,33.0
50,2489157872,0,2,0,29.0
50,2489157876,0,0,0,29.0
50,30037903,1,1,0,29.0
50,30037904,0,2,0,29.0
51,2489157872,0,0,0,35.0
51,2489157876,0,1,0,35.0
51,30037903,1,2,0,35.0
51,30037904,0,0,0,35.0
52,2489157872,0,1,0,41.0
52,2489157876,0,2,0,41.0
52,30037903,1,0,0,41.0
52,30037904,0,0,0,41.0
53,2489157872,0,1,1,47.0
53,2489157876,0,1,1,47.0
53,30037903,1,2,1,47.0
53,30037904,0,0,1,47.0
54,2489157872,0,2,0,49.0
54,2489157876,0,1,0,49.0
54,30037903,1,0,0,49.0
54,30037904,0,2,0,49.0
55,2489157872,0,0,1,51.0
55,2489157876,0.0,1,1,51.0
55,30037903,1,2,1,51.0
55,30037904,0,1,1,51.0
56,2489157872,0,0,1,57.0
56,2489157876,0,1,1,57.0
56,30037903,1,2,1,57.0
56,30037904,0,0,1,57.0
57,2489157872,0,1,0,63.0
57,2489157876,0,2,0,63.0
57,30037903,1,0,0,63.0
57,30037904,0,1,0,63.0
58,2489157872,0.0,2,1,64.0
58,2489157876,0.0,0,1,64.0
58,30037903,1,2,1,64.0
58,30037904,0,1,1,64.0
59,2489157872,0,0,0,58.0
59,2489157876,0.0,2,0,58.0
59,30037903,1,1,0,58.0
59,30037904,0,0,0,58.0
60,2489157872,0,0,2,64.0
60,2489157876,0,1,2,64.0
60,30037903,1,2,2,64.0
60,30037904,0,2,2,64.0
61,2489157872,0,0,0,70.0
61,2489157876,0,0,0,70.0
61,30037903,1,1,0,70.0
61,30037904,0,2,0,70.0
62,2489157872,0,1,0,76.0
62,2489157876,0.0,0,0,76.0
62,30037903,1,2,0,76.0
62,30037904,0,1,0,76.0
63,2489157872,0,0,0,83.0
63,2489157876,0,0,0,83.0
63,30037903,2,2,0,83.0
63,30037904,0,1,0,83.0
64,2489157872,0,2,1,90.0
64,2489157876,0.0,1,1,90.0
64,30037903,2,0,1,90.0
64,30037904,0,2,1,90.0
65,2489157872,0,0,2,98.0
65,2489157876,0,0,2,98.0
65,30037903,2,1,2,98.0
65,30037904,0,2,2,98.0
66,2489157872,0,1,0,80.0
66,2489157876,0,1,0,80.0
66,30037903,2,2,0,80.0
66,30037904,0,0,0,80.0
67,2489157872,0,1,0,63.0
67,2489157876,0,2,0,63.0
67,30037903,2,2,0,63.0
67,30037904,0.0,0,0,63.0
68,2489157872,0,1,1,72.0
68,2489157876,0.0,2,1,72.0
68,30037903,1.5,0,1,72.0
68,30037904,0.0,1,1,72.0
69,2489157872,0,2,1,81.0
69,2489157876,0,0,1,81.0
69,30037903,3,1,1,81.0
69,30037904,0,2,1,81.0
70,2489157872,0,0,1,80.0
70,2489157876,0,1,1,80.0
70,30037903,3,2,1,80.0
70,30037904,0,0,1,80.0
71,2489157872,0,2,0,82.0
71,2489157876,0,1,0,82.0
71,30037903,3,0,0,82.0
71,30037904,0,1,0,82.0
72,2489157872,0,2,0,72.0
72,2489157876,0,2,0,72.0
72,30037903,3,0,0,72.0
72,30037904,0.0,1,0,72.0
73,2489157872,0.0,0,0,79.0
73,2489157876,0,1,0,79.0
73,30037903,3,2,0,79.0
73,30037904,0,2,0,79.0
74,2489157872,0,0,1,87.0
74,2489157876,0,2,1,87.0
74,30037903,3,1,1,87.0
74,30037904,0,0,1,87.0
75,2489157872,0,1,0,96.0
75,2489157876,0,2,0,96.0
75,30037903,3,0,0,96.0
75,30037904,0,1,0,96.0
76,2489157872,0.0,0,1,107.0
76,2489157876,0.0,2,1,107.0
76,30037903,1.5,0,1,107.0
76,30037904,0,1,1,107.0
77,2489157872,0,2,1,118.0
77,2489157876,0.0,0,1,118.0
77,30037903,3,0,1,118.0
77,30037904,0.0,1,1,118.0
78,2489157872,0,2,0,130.0
78,2489157876,0,1,0,130.0
78,30037903,3,0,0,130.0
78,30037904,0,1,0,130.0
79,2489157872,0,2,1,125.0
79,2489157876,0,0,1,125.0
79,30037903,3,0,1,125.0
79,30037904,0.0,0,1,125.0
80,2489157872,0.0,1,0,85.0
80,2489157876,0,2,0,85.0
80,30037903,3,0,0,85.0
80,30037904,0,1,0,85.0
81,2489157872,0,2,0,77.0
81,2489157876,0,0,0,77.0
81,30037903,3,1,0,77.0
81,30037904,0,2,0,77.0
82,2489157872,0,0,0,80.0
82,2489157876,0,1,0,80.0
82,30037903,3,2,0,80.0
82,30037904,0,0,0,80.0
83,2489157872,0,1,3,84.0
83,2489157876,0,2,3,84.0
83,30037903,3,1,3,84.0
83,30037904,0,1,3,84.0
84,2489157872,0,2,0,78.0
84,2489157876,0,0,0,78.0
84,30037903,3,1,0,78.0
84,30037904,0,2,0,78.0
85,2489157872,0,1,1,81.0
85,2489157876,0,0,1,81.0
85,30037903,1.5,2,1,81.0
85,30037904,0,1,1,81.0
86,2489157872,0,0,4,84.0
86,2489157876,0,0,4,84.0
86,30037903,3,0,4,84.0
86,30037904,0,1,4,84.0
87,2489157872,0,0,1,88.0
87,2489157876,0,2,1,88.0
87,30037903,3,1,1,88.0
87,30037904,2,0,1,88.0
88,2489157872,0,2,0,93.0
88,2489157876,0,1,0,93.0
88,30037903,3,0,0,93.0
88,30037904,2,2,0,93.0
89,2489157872,0,1,1,98.0
89,2489157876,0,0,1,98.0
89,30037903,1.5,2,1,98.0
89,30037904,1.0,1,1,98.0
90,2489157872,0,0,0,103.0
90,2489157876,0,2,0,103.0
90,30037903,1.5,1,0,103.0
90,30037904,2,0,0,103.0
91,2489157872,0,0,3,110.0
91,2489157876,0,2,3,110.0
91,30037903,5,2,3,110.0
91,30037904,2,1,3,110.0
92,2489157872,0.0,0,0,117.0
92,2489157876,0,1,0,117.0
92,30037903,5,0,0,117.0
92,30037904,2,2,0,117.0
93,2489157872,0,0,0,125.0
93,2489157876,0,2,0,125.0
93,30037903,5,1,0,125.0
93,30037904,2,2,0,125.0
94,2489157872,0,2,1,133.0
94,2489157876,0.0,1,1,133.0
94,30037903,5,2,1,133.0
94,30037904,2,0,1,133.0
95,2489157872,0,1,0,134.0
95,2489157876,0,0,0,134.0
95,30037903,5,0,0,134.0
95,30037904,2,2,0,134.0
96,2489157872,0,1,0,136.0
96,2489157876,0,0,0,136.0
96,30037903,5,1,0,136.0
96,30037904,2,2,0,136.0
97,2489157872,0,1,0,144.0
97,2489157876,0,2,0,144.0
97,30037903,5,2,0,144.0
97,30037904,2,0,0,144.0
98,2489157872,0,1,1,152.0
98,2489157876,0,0,1,152.0
98,30037903,5,0,1,152.0
98,30037904,2,2,1,152.0
99,2489157872,0.0,1,1,156.0
99,2489157876,0,1,1,156.0
99,30037903,5,1,1,156.0
99,30037904,2,2,1,156.0
100,2489157872,0,2,0,164.0
100,2489157876,0,0,0,164.0
100,30037903,5,2,0,164.0
100,30037904,2,1,0,164.0
101,2489157872,0,2,0,173.0
101,2489157876,0,0,0,173.0
101,30037903,5,0,0,173.0
101,30037904,1.0,1,0,173.0
102,2489157872,0,2,0,183.0
102,2489157876,0,1,0,183.0
102,30037903,6,1,0,183.0
102,30037904,2,0,0,183.0
103,2489157872,0,2,1,194.0
103,2489157876,0,0,1,194.0
103,30037903,3.0,1,1,194.0
103,30037904,2,2,1,194.0
104,2489157872,0,0,1,203.0
104,2489157876,0,1,1,203.0
104,30037903,6,2,1,203.0
104,30037904,2,2,1,203.0
105,2489157872,0,0,3,213.0
105,2489157876,0,1,3,213.0
105,30037903,6,0,3,213.0
105,30037904,2,2,3,213.0
106,2489157872,0.0,0,1,223.0
106,2489157876,0,1,1,223.0
106,30037903,6,1,1,223.0
106,30037904,2,2,1,223.0
107,2489157872,0,0,0,234.0
107,2489157876,0,1,0,234.0
107,30037903,3.0,1,0,234.0
107,30037904,2,2,0,234.0
108,2489157872,0,2,2,246.0
108,2489157876,0,0,2,246.0
108,30037903,4.0,0,2,246.0
108,30037904,2,1,2,246.0
109,2489157872,0,2,2,258.0
109,2489157876,0.0,1,2,258.0
109,30037903,8,2,2,258.0
109,30037904,2,2,2,258.0
110,2489157872,0,0,0,271.0
110,2489157876,0.0,2,0,271.0
110,30037903,8,0,0,271.0
110,30037904,2,2,0,271.0
111,2489157872,0,1,0,279.0
111,2489157876,0,0,0,279.0
111,30037903,8,1,0,279.0
111,30037904,2,1,0,279.0
112,2489157872,0,0,0,288.0
112,2489157876,0,2,0,288.0
112,30037903,8,2,0,288.0
112,30037904,2,1,0,288.0
113,2489157872,0,0,0,299.0
113,2489157876,0,2,0,299.0
113,30037903,8,0,0,299.0
113,30037904,2,1,0,299.0
114,2489157872,0.0,1,0,312.0
114,2489157876,0,0,0,312.0
114,30037903,10,0,0,312.0
114,30037904,2,1,0,312.0
115,2489157872,0,2,0,325.0
115,2489157876,0,0,0,325.0
115,30037903,10,1,0,325.0
115,30037904,2,1,0,325.0
116,2489157872,0,0,0,338.0
116,2489157876,0,2,0,338.0
116,30037903,10,1,0,338.0
116,30037904,2,1,0,338.0
117,2489157872,0,2,1,351.0
117,2489157876,0,0,1,351.0
117,30037903,10,2,1,351.0
117,30037904,2,1,1,351.0
118,2489157872,0,2,0,365.0
118,2489157876,0,1,0,365.0
118,30037903,11,2,0,365.0
118,30037904,2,0,0,365.0
119,2489157872,0,2,1,379.0
119,2489157876,0.0,0,1,379.0
119,30037903,11,0,1,379.0
119,30037904,2,1,1,379.0
120,2489157872,0,0,1,393.0
120,2489157876,0,0,1,393.0
120,30037903,11,0,1,393.0
120,30037904,2,1,1,393.0
121,2489157872,0,2,3,408.0
121,2489157876,0.0,2,3,408.0
121,30037903,11,1,3,408.0
121,30037904,2,1,3,408.0
122,2489157872,0,1,0,414.0
122,2489157876,0,2,0,414.0
122,30037903,11,2,0,414.0
122,30037904,2,0,0,414.0
123,2489157872,0,0,0,428.0
123,2489157876,0,1,0,428.0
123,30037903,11,1,0,428.0
123,30037904,2,2,0,428.0
124,2489157872,0,2,1,443.0
124,2489157876,0,1,1,443.0
124,30037903,12,0,1,443.0
124,30037904,2,0,1,443.0
125,2489157872,0,1,0,458.0
125,2489157876,0.0,2,0,458.0
125,30037903,12,2,0,458.0
125,30037904,2,0,0,458.0
126,2489157872,0,1,0,474.0
126,2489157876,0,2,0,474.0
126,30037903,12,1,0,474.0
126,30037904,2,0,0,474.0
